team,week,key,label,side,tier,conf,depth,flag,note
OTT,4,rec,Receivers,offense,Above-avg,Med,thinned,Lewis out (wk-to-wk),Hardy/White/Eberhardt/Pimpleton carry; Victor fills the #1 role.
OTT,4,iol,Interior OL,offense,Elite,High,full,National-anchored,Desjarlais–McEwen–Vaccaro — solid and established.
OTT,4,ot,Tackles,offense,Starter,Med,full,Pelehos (N) at RT — ratio,"Boyd LT; Ivey released, Pelehos installed (+1 National)."
OTT,4,bak,Backfield,offense,Starter,Med,full,Collins 6g (covered),Bell near like-for-like; Adeboboye change-of-pace.
OTT,4,qb,Quarterback,offense,Starter,Med,thinned,form ≠ availability,"Maier set as QB1; backups churned, Bethel-Thompson suspended. Form priced separately."
OTT,4,edge,Edge,defense,Above-avg,High,full,National edge,Vilain/John/Parks — National-rich rotation.
OTT,4,idl,Interior DL,defense,Starter,Med,full,—,Laing (N)/Ta'ala (G)/Wakefield rotation.
OTT,4,lb,Linebackers,defense,Starter,Low–Med,thinned,Cormier 1g; Morgan usage,Connors/Brodrique (N) start; SLB on a PR promotion — watch nominal vs effective.
OTT,4,sec,Secondary,defense,Starter,Med,thinned,HIGH variance; Frye 6g,"Houston/S.Brown/Hutter (N); Henderson back, Addae 1g."
OTT,4,st,Specialists,st,Above-avg,High,full,National K/LS,"Lauther K/P, Adjey LS; Pimpleton on returns (94-yd KR TD at MTL)."
TOR,4,rec,Receivers,offense,Above-avg,Med,full,—,"Coxie #1, Mital (N) in the slot; Kahmann/Ungerer round it out. Herslow a healthy scratch."
TOR,4,iol,Interior OL,offense,Above-avg,High,full,National interior,Hunter–Nicastro–Shepley all National — settled and solid.
TOR,4,ot,Tackles,offense,Starter,Med,full,Randolph (RT) out → Kemp,Like-for-like — Kemp a veteran with more CFL starts than Randolph.
TOR,4,bak,Backfield,offense,Starter,Med,full,—,Hicks at RB; Cassar (N) at fullback.
TOR,4,qb,Quarterback,offense,Above-avg,Med,thinned,form priced separately,"Kelly (former MOP) QB1; Arbuckle/Horn behind. Talent high, but the team is scuffling."
