team,week,kind,order,label,meta,sev,note
OTT,4,drag,1,WR (X),,notable,"Lewis out (shoulder, 1-game IL) — top target; Victor fills a clear tier below."
OTT,4,drag,2,Secondary depth,,minor,"Frye (6g, covered by Henderson) + Addae (1g) thin the National DB cushion — HIGH matchup-variance."
OTT,4,drag,3,RB,,negligible,Collins (6g) covered near like-for-like by Bell.
OTT,4,watch,1,Henderson,field HB,,season debut — on return ramp.
OTT,4,watch,2,Lewis,WR (X),,week-to-week — reassess Wk5.
OTT,4,watch,3,Parks,DE,,back in the rotation.
TOR,4,drag,1,Free safety,,notable,Priester lost for the season (Achilles) — CFL-debut replacement; HIGH variance vs pass-heavy offences.
TOR,4,drag,2,DB depth,,minor,John (N) to IL — thins the National secondary cushion at the floor.
TOR,4,watch,1,Kelly,QB,,"former MOP; form is the swing factor, not availability."
TOR,4,watch,2,Randolph,RT,,6-game IL; Kemp covering like-for-like.
MTL,4,drag,1,Secondary,,notable,Ento + Burns out; leaky second halves (89 pts allowed through 3 games).
MTL,4,drag,2,Receiver depth,,minor,Dedmon/Harris (6-game) + Spieker/Sterns out — top-heavy behind Philpot/Snead.
MTL,4,watch,1,Beverette,LB,,star LB (2024 MOD finalist) back this week.
MTL,4,watch,2,Scott III,RB,,season debut — no rust (65 yds Wk4).
HAM,3,drag,1,MIKE linebacker,,notable,Intended starter out all season (knee) — carried as a standing baseline discount until he dresses.
HAM,3,drag,2,Boundary CB,,minor,All-star out Week 3 (head) — practice-roster call-up covering.
HAM,3,watch,1,MIKE LB,LB,,watch for a first season debut.
HAM,3,watch,2,Boundary CB,CB,,concussion protocol — return window.
SSK,4,drag,1,Secondary depth,,notable,"Compounding HB/S injuries (Milligan Jr., Lokombo, Hughes) — the primary vulnerability thread across the first three games."
SSK,4,drag,2,QB depth,,minor,No proven option behind Harris after losing Maier to Ottawa.
SSK,4,watch,1,Milligan Jr. / Lokombo,DB,,secondary return windows.
SSK,4,watch,2,Harris,QB,,age 40 — durability the long-term watch.
EDM,4,drag,1,Right guard,,notable,National RG Woodmansey on 6-game IL (knee) → rookie replacement — the one clearly rating-relevant loss.
EDM,4,drag,2,MIKE linebacker,,minor,Anderson to 6-game IL (hamstring).
EDM,4,watch,1,Fajardo,QB,,dry-weather pass-pro reps are the calibration check on the OL discount.
EDM,4,watch,2,Woodmansey / Anderson,OL/LB,,6-game IL return windows.
CGY,4,drag,1,Secondary,,notable,National CB Greene to 6-game IL (Wk4) — cascades the back end and trims the ratio cushion.
CGY,4,drag,2,Kicker,,minor,"Ironman Paredes (K) on 6-game IL — rookie McAtamney a reliability question, not a talent cliff."
CGY,4,watch,1,Adams Jr.,QB,,streaky — his form dictates the result.
CGY,4,watch,2,McAtamney,K,,reliability in close games.
WPG,4,drag,1,Boundary edge,,notable,"The DE opposite Jefferson (Jenkins/Reese) is unsettled and replacement-level — a structural weakness present every week, not an injury."
WPG,4,drag,2,DB depth,,minor,Cam Allen on the 6-game IL since Week 1.
WPG,4,watch,1,Opposite edge,DE,,whether anyone claims the spot next to Jefferson.
WPG,4,watch,2,Santos-Knox,LB,,6-game IL — the deep room absorbs it.
