team,week,side,slot,depth,num,name,full,pos,nat,flags,status,chg,lev,drop,conf,persist,mvar,ratio,note,health_since,health_reason,health_list,health_return,health_ramp,col,ht,wt,age,cfl,pff,pffSnaps
OTT,4,offense,WR_B,1,80,Victor,,WR (X),A,,active,in,High,—,Moderate,ongoing,Moderate,,"REDBLACKS debut in place of Lewis. 32/331/1 with EDM in 2025 — capable, a clear step down from a proven #1.",,,,,,Ohio State,6-4,198,29,2,66.3,331
OTT,4,offense,WR_B,2,87,Lewis,,WR (X),A,,1gIL,out,High,Moderate,Moderate,week-to-week,Moderate–High,,"Baseline #1 — 3× All-CFL (75/1,012/6 in 2025). The single swing variable for this rating.",Wk4,shoulder,1-game IL,Wk5 (week-to-week),TRUE,Penn State,6-2,207,33,9,83.1,620
OTT,4,offense,SB_1,1,2,Hardy,,SB,A,,active,,Medium,,High,—,,,Steady slot — 7/119/1 at MTL in the Wk4 rally.,,,,,,East Carolina,5-10,192,33,9,73,
OTT,4,offense,SB_2,1,81,White,,SB,N,,active,,Medium,,High,—,,National receiver — depth of ratio strength,"National starting SB — 2 TD at MTL, ""the real deal"" per preseason scouting.",,,,,,Montana,6-1,200,28,2,74.2,
OTT,4,offense,SB_3,1,7,Eberhardt,,SB,A,,active,,Medium,,High,—,,,Team-leading receiver early (12/178/1 through 3). High YPC add from BC.,,,,,,Wyoming,6-1,200,28,2,74,
OTT,4,offense,WR_F,1,83,Pimpleton,,WR (Z),A,,active,,Medium,,High,—,—,,"Full-time WR w/ 1,000-yd upside + lead returner — 94-yd KR TD at MTL.",,,,,,Central Michigan,5-8,162,27,2,71.5,
OTT,4,offense,WR_F,2,85,McDonald,,WR,A,DA,active,,Low,,,,,,Designated American depth / returner.,,,,,,Miami (OH),5-10,200,25,1,62.4,
OTT,4,offense,LT,1,64,Boyd,,LT,A,,active,,High,,High,—,,,Blindside tackle.,,,,,,Cincinnati,6-3,307,29,4,69.5,
OTT,4,offense,LG,1,61,Desjarlais,,LG,N,,active,,High,,High,—,,Anchor of the National interior,"Part of a ""solid and established"" National interior line.",,,,,,Windsor,6-2,314,29,6,79.2,700
OTT,4,offense,C,1,51,McEwen,,C,N,,active,,High,,High,—,,National C — ratio spine,Veteran National centre; sets the established interior.,,,,,,Calgary,6-3,300,32,10,76,660
OTT,4,offense,C,2,69,Carson,,C/G,N,,active,,Low,,,,,,National interior depth.,,,,,,La-Monroe,6-4,300,24,2,62.1,
OTT,4,offense,RG,1,68,Vaccaro,,RG,N,,active,,High,,High,—,,National RG,"Won the RG job; Bladek (N) was offseason competition, not active.",,,,,,Purdue,6-5,305,26,4,73.4,640
OTT,4,offense,RG,2,65,Diouf,,G,N,,active,in,Low,,,,,,Promoted National interior depth.,,,,,,Montreal,6-2,305,24,1,60.2,140
